INFO (2024-10-15 19:23:26,346): login browser
INFO (2024-10-15 19:23:28,832): Alert page -> Alert button: click
INFO (2024-10-15 19:23:28,884): driver get text
INFO (2024-10-15 19:23:28,884): switch alert
INFO (2024-10-15 19:23:28,885): confirm
INFO (2024-10-15 19:23:28,885): switch alert
INFO (2024-10-15 19:23:28,888): Alert page -> Result label: get text
INFO (2024-10-15 19:23:28,907): Alert page -> Confirm button: click
INFO (2024-10-15 19:23:28,952): driver get text
INFO (2024-10-15 19:23:28,952): switch alert
INFO (2024-10-15 19:23:28,954): confirm
INFO (2024-10-15 19:23:28,954): switch alert
INFO (2024-10-15 19:23:28,956): Alert page -> Result label: get text
INFO (2024-10-15 19:23:28,968): Alert page -> Prompt button: click
INFO (2024-10-15 19:23:29,010): driver get text
INFO (2024-10-15 19:23:29,010): switch alert
INFO (2024-10-15 19:23:29,012): switch alert
INFO (2024-10-15 19:23:29,013): confirm
INFO (2024-10-15 19:23:29,013): switch alert
INFO (2024-10-15 19:23:29,015): write text and confirm
INFO (2024-10-15 19:23:29,015): Alert page -> Result label: get text
INFO (2024-10-15 19:23:29,027): quit browser
